,開始時刻,分類,高値,安値,トレンド,転換値,直近目標値
0,2025-01-01 18:00:00,スイングロウ,,92840.0,,,
1,2025-01-03 05:00:00,スイングハイ,97844.8,,,,
2,2025-01-03 17:00:00,スイングロウ,,96062.1,,,
3,2025-01-04 04:00:00,スイングハイ,98950.0,,上昇,96062.1,98950.0
4,2025-01-04 10:00:00,スイングロウ,,97750.0,上昇,96062.1,98950.0
5,2025-01-04 16:00:00,スイングハイ,98298.6,,上昇,96062.1,98950.0
6,2025-01-05 00:00:00,スイングロウ,,97442.8,上昇,96062.1,98950.0
7,2025-01-05 06:00:00,スイングハイ,98759.6,,上昇,96062.1,98950.0
8,2025-01-05 10:00:00,スイングロウ,,98011.0,上昇,96062.1,98950.0
9,2025-01-05 13:00:00,スイングハイ,98516.0,,上昇,96062.1,98950.0
10,2025-01-05 23:00:00,スイングロウ,,97216.0,上昇,96062.1,98950.0
11,2025-01-06 14:00:00,スイングハイ,99877.7,,上昇,97216.0,99877.7
12,2025-01-06 23:00:00,スイングロウ,,98612.2,上昇,97216.0,99877.7
13,2025-01-07 09:00:00,スイングハイ,102702.1,,上昇,98612.2,102702.1
14,2025-01-08 05:00:00,スイングロウ,,96113.4,,,
15,2025-01-08 09:00:00,スイングハイ,97224.3,,,,
16,2025-01-08 20:00:00,スイングロウ,,94458.0,下降,97224.3,94458.0
17,2025-01-09 00:00:00,スイングハイ,96037.9,,下降,96037.9,94458.0
18,2025-01-09 02:00:00,スイングロウ,,92378.5,下降,96037.9,92378.5
19,2025-01-09 10:00:00,スイングハイ,95356.6,,下降,95356.6,92378.5
20,2025-01-09 23:00:00,スイングロウ,,91738.0,下降,95356.6,91738.0
21,2025-01-10 00:00:00,スイングハイ,94555.0,,下降,94555.0,91738.0
