,開始時刻,始値,高値,安値,終値,取引量,取引総額
0,2025-05-19 22:21:00,102351.3,102420.8,102351.3,102420.8,15.441,1580911.0886
1,2025-05-19 22:22:00,102420.8,102474.0,102420.8,102473.9,34.272,3511310.0938
2,2025-05-19 22:23:00,102473.9,102473.9,102449.5,102449.6,15.113,1548529.3369
3,2025-05-19 22:24:00,102449.6,102464.3,102436.7,102436.8,15.742,1612697.7567
4,2025-05-19 22:25:00,102436.8,102436.8,102402.5,102432.3,35.431,3628804.7794
5,2025-05-19 22:26:00,102432.3,102474.7,102432.2,102474.6,30.506,3125162.6099
6,2025-05-19 22:27:00,102474.6,102489.6,102466.3,102481.5,19.866,2035860.6587
7,2025-05-19 22:28:00,102481.5,102516.7,102474.0,102474.0,42.624,4369033.3576
8,2025-05-19 22:29:00,102474.0,102474.1,102459.4,102465.3,21.368,2189534.0105
9,2025-05-19 22:30:00,102465.3,102584.0,102373.5,102512.3,240.851,24685893.7063
10,2025-05-19 22:31:00,102512.3,102609.0,102380.0,102384.7,132.941,13625349.6399
11,2025-05-19 22:32:00,102384.7,102554.4,102326.2,102554.3,97.86,10020829.2144
12,2025-05-19 22:33:00,102554.3,102648.4,102516.1,102628.5,125.647,12889087.4064
13,2025-05-19 22:34:00,102628.5,102719.3,102627.0,102630.9,233.024,23927939.3369
14,2025-05-19 22:35:00,102630.9,102639.6,102483.9,102549.5,83.729,8587659.47
15,2025-05-19 22:36:00,102549.5,102823.4,102549.4,102750.8,266.377,27369962.5142
16,2025-05-19 22:37:00,102750.8,102820.0,102745.0,102759.8,117.024,12028276.187
17,2025-05-19 22:38:00,102759.8,102887.2,102759.7,102885.3,154.1,15848729.7904
18,2025-05-19 22:39:00,102885.3,102972.6,102885.2,102932.0,184.911,19034929.6819
19,2025-05-19 22:40:00,102932.0,102932.0,102832.5,102895.4,121.953,12548324.5658
20,2025-05-19 22:41:00,102895.4,102973.1,102870.0,102933.5,147.133,15141948.2318
21,2025-05-19 22:42:00,102933.5,102964.0,102870.0,102951.3,61.488,6328081.0469
22,2025-05-19 22:43:00,102951.3,102979.0,102909.9,102914.0,84.123,8660961.4467
23,2025-05-19 22:44:00,102914.0,102976.5,102907.4,102976.5,40.162,4133817.396
24,2025-05-19 22:45:00,102976.5,103075.1,102965.5,103072.5,148.464,15296439.3753
25,2025-05-19 22:46:00,103072.5,103100.0,103059.8,103059.8,129.401,13338628.9101
26,2025-05-19 22:47:00,103059.8,103180.0,103034.8,103179.9,210.639,21720596.0048
27,2025-05-19 22:48:00,103179.9,103248.4,103140.0,103175.1,304.083,31380900.96
28,2025-05-19 22:49:00,103175.1,103175.1,103008.9,103016.8,246.493,25404101.0712
29,2025-05-19 22:50:00,103016.8,103092.3,103000.0,103060.0,110.575,11393673.0744
30,2025-05-19 22:51:00,103060.0,103098.0,103000.8,103056.4,69.407,7151660.675
31,2025-05-19 22:52:00,103056.4,103158.4,103053.6,103128.3,75.998,7835776.9213
32,2025-05-19 22:53:00,103128.3,103299.9,103107.8,103285.6,252.58,26066364.3867
33,2025-05-19 22:54:00,103285.6,103333.0,103265.0,103276.0,111.831,11551585.3756
34,2025-05-19 22:55:00,103276.0,103332.0,103275.9,103325.9,69.369,7166017.555
35,2025-05-19 22:56:00,103325.9,103487.8,103325.3,103466.9,556.995,57602769.0101
36,2025-05-19 22:57:00,103466.9,103495.8,103407.9,103408.0,186.99,19345392.5003
37,2025-05-19 22:58:00,103408.0,103440.0,103325.0,103331.5,113.111,11692564.8656
38,2025-05-19 22:59:00,103331.5,103337.8,103237.0,103239.7,124.009,12809031.5268
39,2025-05-19 23:00:00,103239.7,103321.0,103223.2,103321.0,124.582,12866790.9933
40,2025-05-19 23:01:00,103321.0,103524.9,103321.0,103524.9,237.001,24522463.7026
41,2025-05-19 23:02:00,103524.9,103525.5,103472.2,103482.3,88.551,9165378.2743
42,2025-05-19 23:03:00,103482.3,103482.4,103315.0,103317.0,130.018,13439294.6785
43,2025-05-19 23:04:00,103317.0,103317.1,103260.5,103267.1,60.25,6223298.7162
44,2025-05-19 23:05:00,103267.1,103278.4,103131.7,103184.0,314.63,32467484.704
45,2025-05-19 23:06:00,103184.0,103382.2,103132.3,103345.3,267.486,27611783.9773
